ID,start_time,end_time,subset_cen_lon,subset_cen_lat,subset_duration(hour),subset_area(sqkm),subset_ture_area(sqkm),raw_duration(hour),raw_timestamp(hour),season,season_id,month,avg_spd(km/hour),avg_bearing(degree),raw_avg_land_area(sqkm),arkansas_storm,selected_mtpr(mm/hour),land_mtpr,land_mer,land_mvimd,land_dwdt,land_t2m,land_mcpr,land_mcsr,land_mlspr,land_mlssr,land_msl,land_q,land_qx,land_qy,land_tcwv,land_residual,year
197807990,1978-08-30 00:00:00,1978-08-30 01:00:00,-91.30434,36.095787,2,5000,4977.983,191,1978-08-27 22:00:00,sum,2,8,26.32516405266771,-53.82180901380361,529144.9375,1,13.011258,13.011258,-0.1715809,-17.080635,0.54169667,291.87253,0.75752366,2.0954758e-07,12.253775,0.0,100991.48,1994.9144,-1822.2128,589.5286,52.72061,-3.6992617,1978
197909899,1979-10-31 00:00:00,1979-10-31 01:00:00,-95.00001,35.13732,2,5000,5038.413,59,1979-10-29 09:00:00,fal,3,10,25.21969150807537,51.39515137734064,1326050.8125,1,18.152052,18.152052,-0.1421695,-19.679253,-5.33337,291.49426,1.037185,0.0,17.114862,4.190952e-07,99865.86,2262.8298,369.40204,2230.898,41.75111,-7.002741,1979
198004644,1980-06-21 04:00:00,1980-06-21 05:00:00,-92.80861,34.960754,2,5000,5048.283,48,1980-06-19 12:00:00,sum,2,6,160.02035622416088,94.51434524417297,209567.21875,1,14.781071,14.781071,-0.129402,-20.663847,0.76973045,291.96313,2.1678517,0.0,12.613193,4.1909516e-07,101548.31,766.36914,-3.863603,641.6788,49.484985,-5.242448,1980
198104138,1981-06-05 21:00:00,1981-06-05 22:00:00,-93.78911,32.958992,2,5000,5168.4287,97,1981-06-04 17:00:00,sum,2,6,144.65565418067573,-103.36587227549958,1978175.625,1,14.0897255,14.0897255,-0.20925367,-12.804529,-0.7682569,297.3639,1.3881822,0.0,12.701503,0.0,100663.25,2856.0889,-663.72906,2526.3325,64.307724,0.3076861,1981
198202501,1982-04-17 07:00:00,1982-04-17 08:00:00,-93.566345,32.49408,2,5000,5195.688,49,1982-04-15 16:00:00,spr,1,4,50.73903945302346,-27.15027164849156,1264483.125,1,14.092483,14.092483,-0.036263607,-17.171787,1.4257054,294.34967,6.151104,2.0954757e-07,7.9415727,0.0,101117.4,2222.4756,1908.3229,437.7532,50.0227,-1.6898627,1982
198307203,1983-08-20 04:00:00,1983-08-20 05:00:00,-98.11441,36.965797,2,5000,4921.8926,100,1983-08-16 18:00:00,sum,2,8,31.585763542107237,-8.194233500489473,116583.30859375,1,14.333673,14.333673,-0.15094525,-18.683197,1.7546107,295.3436,1.7027268,2.0954761e-07,12.630994,-4.1909522e-07,101383.82,3196.7412,-1579.1184,2690.1099,55.064247,-2.7458596,1983
198411073,1984-11-27 04:00:00,1984-11-27 05:00:00,-92.467224,35.344032,2,5000,5024.9766,45,1984-11-26 04:00:00,fal,3,11,36.35572807190758,34.01956298312764,950663.34375,1,14.992402,14.992402,0.01607887,-19.360825,-3.6660728,287.45352,0.3557912,0.0,14.636679,0.0,100572.125,1840.459,1177.93,1385.9602,36.275692,-8.018416,1984
198502678,1985-04-22 14:00:00,1985-04-22 15:00:00,-97.7851,33.809803,2,5000,5118.4863,70,1985-04-21 14:00:00,spr,1,4,58.567395185977304,124.25040549216939,1136500.5625,1,12.824191,12.824191,-0.039055735,-14.691888,1.1704215,289.26062,10.312518,-2.0954757e-07,2.5115702,4.1909513e-07,100559.34,1623.5385,762.5267,1407.1809,36.527332,-0.7363311,1985
198608572,1986-09-05 19:00:00,1986-09-05 20:00:00,-94.12399,34.76825,2,5000,5059.8223,6,1986-09-05 18:00:00,fal,3,9,128.69385359741187,130.53743389172777,1508636.1875,1,13.505687,13.505687,-0.111187235,-13.456079,-1.4602587,294.3115,0.7561297,-2.0954758e-07,12.749665,0.0,101506.74,715.0624,-132.66211,-96.9361,51.866478,-1.5218375,1986
198708755,1987-09-14 16:00:00,1987-09-14 17:00:00,-94.5262,37.112015,2,5000,4913.886,9,1987-09-14 11:00:00,fal,3,9,38.805400101899245,6.269191753863751,115666.203125,1,13.004891,13.004891,-0.28550768,-14.294062,0.74720204,298.54944,12.654554,0.0,0.35042325,0.0,101432.0,1437.4778,1013.74384,1017.0095,43.528416,-0.8274764,1987
198808254,1988-09-19 00:00:00,1988-09-19 01:00:00,-99.70562,35.2974,2,5000,5026.994,83,1988-09-15 19:00:00,fal,3,9,46.92604198256744,51.46760606554126,325671.21875,1,14.705909,14.705909,-0.024783341,-12.418703,-6.6397743,295.32877,1.9367493,0.0,12.76925,0.0,100441.26,894.06024,269.598,805.87164,47.88291,-4.3773518,1988
198904235,1989-06-08 03:00:00,1989-06-08 04:00:00,-95.42385,33.56658,2,5000,5133.42,23,1989-06-07 23:00:00,sum,2,6,80.60133514231926,108.92585075532101,604786.8125,1,18.753971,18.753971,-0.07198014,-27.189096,-2.2564662,293.3743,1.9756397,0.0,16.778383,2.0954758e-07,100513.914,458.89545,-117.5202,-426.48654,48.750114,-10.763571,1989
199004859,1990-06-22 00:00:00,1990-06-22 01:00:00,-96.576775,37.846474,2,5000,5473.723,42,1990-06-21 21:00:00,sum,2,6,94.04711443429548,159.89423085407748,729039.78125,1,16.662169,16.662169,-0.07147338,-24.532377,-1.5794278,296.53333,12.325455,-2.0954757e-07,4.336984,4.1909513e-07,101079.19,1281.9845,1265.2244,-148.41441,46.708035,-9.521111,1990
199102712,1991-04-24 21:00:00,1991-04-24 22:00:00,-99.57826,34.31407,2,5000,5088.3994,24,1991-04-24 21:00:00,spr,1,4,339.7705643895077,24.21526044301564,269451.140625,1,16.139376,16.139376,-0.10101037,-25.053587,-0.050440446,288.66293,4.321885,0.0,11.817382,0.0,100643.805,1267.3467,136.06033,764.5715,37.52131,-9.065663,1991
199210917,1992-11-20 11:00:00,1992-11-20 12:00:00,-93.70691,32.42797,2,5000,5200.8877,63,1992-11-18 16:00:00,fal,3,11,38.10112032922821,42.42096833957352,1296213.625,1,13.436538,13.436538,0.007374605,-13.7464905,-1.0583009,289.63358,1.018468,0.0,12.417913,-4.1909516e-07,100615.76,2289.8315,298.63647,2266.6992,40.31593,-1.3608788,1992
199302729,1993-04-29 11:00:00,1993-04-29 12:00:00,-96.25294,34.223892,2,5000,5094.067,70,1993-04-28 09:00:00,spr,1,4,24.31854699020188,109.06432249729974,835132.375,1,15.102988,15.102988,-0.0064702393,-18.991419,-1.8171923,289.156,1.1774056,-2.0954757e-07,13.925766,0.0,101341.08,624.67035,515.4067,35.234367,38.061783,-5.7120934,1993
199410270,1994-11-05 11:00:00,1994-11-05 12:00:00,-93.92699,36.101105,2,5000,5598.9717,68,1994-11-03 06:00:00,fal,3,10,71.4697552471598,-120.37664384976239,1245095.4375,1,16.073118,16.073118,0.009299336,-19.908615,-1.5411928,289.26767,0.9093873,0.0,15.163605,0.0,100172.88,1893.2382,589.3,1779.9279,39.985905,-5.3673897,1994
199503091,1995-05-08 03:00:00,1995-05-08 04:00:00,-96.40361,34.40454,2,5000,5082.6846,71,1995-05-07 05:00:00,spr,1,5,42.7135195234652,128.40585179043364,1976027.3125,1,16.671326,16.671326,0.0011357452,-22.016478,1.1715527,291.83307,12.657907,0.0,4.0134587,0.0,100382.22,3830.2522,912.3526,3691.2124,43.270233,-4.1724644,1995
199609688,1996-10-26 02:00:00,1996-10-26 03:00:00,-93.249435,31.617407,2,5000,5245.617,49,1996-10-24 20:00:00,fal,3,10,34.01663080948223,27.316497535906528,627905.25,1,19.812725,19.812725,-0.030477373,-19.312035,0.9847012,291.97702,0.9379335,2.0954761e-07,18.87496,0.0,100892.71,3531.4082,27.394238,3506.1301,51.17197,1.4549141,1996
199707746,1997-08-22 06:00:00,1997-08-22 07:00:00,-98.78675,37.7146,2,5000,4873.0713,41,1997-08-21 20:00:00,sum,2,8,99.2718465930162,-31.43312348272437,242638.046875,1,17.867489,17.867489,-0.025853988,-20.569803,-0.16091864,294.52686,6.7451453,0.0,11.1224985,-4.1909513e-07,101678.92,1280.2838,255.65309,1108.5219,55.616505,-2.8890872,1997
199800750,1998-02-10 22:00:00,1998-02-10 23:00:00,-94.22003,33.24982,2,5000,5151.867,64,1998-02-09 09:00:00,win,4,2,30.46332825034447,79.19477837074754,792020.625,1,15.889478,15.889478,-0.14072017,-16.442457,-2.690813,285.36566,0.7153463,2.0954758e-07,15.174159,4.1909516e-07,99994.57,755.0246,162.18372,-149.91306,28.60625,-3.384513,1998
199908118,1999-09-08 06:00:00,1999-09-08 07:00:00,-95.803345,35.79717,2,5000,4997.7085,21,1999-09-08 06:00:00,fal,3,9,23.626109225614957,61.389637718568565,103414.60546875,1,21.653336,21.653336,-0.07985243,-29.65692,-2.4992688,296.30832,7.095089,-2.0954758e-07,14.5579,0.0,100693.47,1811.3357,1202.9135,-55.81303,58.208588,-10.5827055,1999
200003691,2000-05-26 02:00:00,2000-05-26 03:00:00,-99.859955,36.11022,2,5000,5598.9717,76,2000-05-25 19:00:00,spr,1,5,54.86233373377681,67.77154309249988,700376.3125,1,15.57022,15.57022,-0.024108795,-19.164312,-0.2931867,292.1079,8.422213,0.0,7.1478624,0.0,100555.91,2386.3513,501.38953,2331.0808,47.283966,-3.911388,2000
200103753,2001-05-28 06:00:00,2001-05-28 07:00:00,-97.73619,34.041134,2,5000,5105.3765,44,2001-05-27 02:00:00,spr,1,5,299.9472756744488,6.575104943345849,469694.34375,1,21.534538,21.534538,-0.07906131,-36.446175,-1.6335903,298.39508,6.026292,0.0,15.508332,0.0,100340.625,1851.1179,170.24486,-622.4171,54.210766,-16.624289,2001
200207096,2002-08-14 06:00:00,2002-08-14 07:00:00,-93.895195,36.508827,2,5000,4952.1367,78,2002-08-11 22:00:00,sum,2,8,186.5386147224582,-51.9043735292189,737802.71875,1,19.41311,19.41311,-0.04382072,-27.509811,-0.43127447,291.96072,4.633803,0.0,14.779412,0.0,101111.664,1576.6549,597.9805,917.7886,53.4307,-8.571796,2002
200308701,2003-09-12 14:00:00,2003-09-12 15:00:00,-94.69104,32.760178,2,5000,5177.536,93,2003-09-09 13:00:00,fal,3,9,24.211936151663565,87.42348475656603,776997.3125,1,13.424066,13.424066,-0.045823764,-15.046721,0.06745881,294.80365,0.5262474,0.0,12.898048,0.0,101093.24,1957.0952,-0.98554885,1956.5562,55.20342,-1.601021,2003
200410260,2004-11-01 08:00:00,2004-11-01 09:00:00,-95.15015,35.822395,2,5000,4995.6562,93,2004-10-31 10:00:00,fal,3,10,37.79974289500653,57.99422329919998,1204275.6875,1,14.164158,14.164158,-0.010405444,-15.570433,-1.8573374,292.7075,0.23791064,0.0,13.92638,0.0,100423.33,1666.1136,951.6769,1342.4952,46.47413,-3.2740178,2004
200504591,2005-06-17 14:00:00,2005-06-17 15:00:00,-95.120224,34.26372,2,5000,5092.1816,24,2005-06-16 17:00:00,sum,2,6,134.7669020675207,-62.16094727312595,638677.90625,1,20.110806,20.110806,-0.16317944,-20.265432,-2.7550492,291.2618,2.0964763,2.0954758e-07,18.014084,0.0,101042.8,1391.8955,1290.4746,-501.7202,44.58356,-3.0728555,2005
200606711,2006-07-27 10:00:00,2006-07-27 11:00:00,-93.8903,32.5782,2,5000,5192.0527,73,2006-07-24 22:00:00,sum,2,7,50.2841917439358,30.40664850332142,276829.40625,1,19.766418,19.766418,-0.049176134,-23.759722,-0.28564686,296.27893,1.0288833,0.0,18.73747,0.0,101114.984,3926.0942,2227.9653,3183.0002,66.03299,-4.3281255,2006
200705348,2007-07-06 12:00:00,2007-07-06 13:00:00,-94.47641,32.75,2,5000,5181.2207,79,2007-07-05 15:00:00,sum,2,7,14.480167215443227,49.52535416779943,569989.53125,1,17.584919,17.584919,-0.020831164,-19.210403,0.66890585,295.8407,0.28940398,-2.0954758e-07,17.295385,0.0,101650.664,463.24677,-245.08066,264.0915,58.92584,-0.9774107,2007
200808510,2008-09-14 06:00:00,2008-09-14 07:00:00,-93.92503,36.731842,2,5000,5555.0967,217,2008-09-11 18:00:00,fal,3,9,40.62655873715626,-15.041937746361974,1325275.25,1,16.750576,16.750576,-0.20169233,-14.542054,-2.4199526,293.93277,0.5752125,0.0,16.175247,4.1909516e-07,99603.87,2585.1067,-1666.2192,-1213.0491,64.36108,-0.41312337,2008
200905935,2009-07-21 06:00:00,2009-07-21 07:00:00,-97.181564,37.747276,2,5000,5479.8887,59,2009-07-20 10:00:00,sum,2,7,152.81546573724694,-59.56735852527224,630623.4375,1,20.442675,20.442675,-0.093089044,-32.165485,-1.5527588,294.45993,2.1529255,0.0,18.289785,0.0,100757.11,2009.381,-128.33965,866.3604,54.413948,-13.368658,2009
201004412,2010-06-15 08:00:00,2010-06-15 09:00:00,-97.862404,35.0545,2,5000,5042.508,15,2010-06-14 21:00:00,sum,2,6,38.14680787594594,88.6844697576283,465610.96875,1,23.617922,23.617922,-0.05217488,-30.597918,-3.9950306,292.05063,3.9813194,0.0,19.63673,0.0,100883.695,2315.1,862.9296,1217.7533,57.968906,-11.027202,2010
